,Agglomeration,C,F_R,F_R,T,P
1,1,0.5,50,5,225,8.5
2,1,0.5,50,5,265.3,8.1
3,1,0.5,70,7,259.6,8
4,1,0.5,40,4,266,8.1
5,1,1,70,7,261.6,8.1
6,1,5,70,7,260.4,8
7,0,500,70,7,262.3,7.9
8,0,150,70,7,260.2,7.7
9,0,5,70,2,259.2,8.1
10,1,5,70,9.99,258.8,8
11,1,5,70,7,269.5,9.5
12,0,5,100,5,258.3,8.1
13,1,5,100,7,257.6,8
14,1,5,100,7,256.3,9.5
15,0,50,100,7,256.6,9.5
16,0,30,100,7,257.5,9.5
17,0,9.5,99,8.59,221,10
18,1,0.1,41,7.36,260.3,7.5
19,1,2,85,4,194.9,9.5
20,1,0.3,60,8.7,254,7.8
21,1,3,65,2.5,229.8,8.8
22,1,4.5,44,5,240.2,7.7
23,1,0.4,93,8.5,247.7,9.2
24,1,2.5,89,5.5,220.3,8.3
25,1,0,55,6,157.2,9.3
26,0,4.2,80,3,132.7,8.4
27,1,0,75,4,239.9,8.2
28,1,4.8,67,5.1,193.7,8
29,1,0.6,74,5.8,211,7.5
30,1,1.9,59,4,150.8,8.1
31,1,2.2,53,2.4,134.1,8.5
32,1,3.8,43,9.6,176.9,8.6
33,1,1.5,73,2,157.6,9.1
34,1,3.2,58,4.1,216.5,7.9
35,1,2.6,71,9.7,189.2,9
36,1,3.1,53,5.6,198.7,9
37,1,4.5,50,8.3,193.6,9.1
38,1,2.7,88,5.3,183.9,8.3
39,1,3,79,5.3,198.9,9.2
40,1,1.4,74,9.5,217,9.1
41,1,0.6,83,9,192.5,7.8
42,1,3,77,6.7,232.7,7.5
43,1,4.7,67,7.1,138.4,8.7
44,1,0.4,98,8.9,143.8,7.9
45,1,4.9,43,8.9,193.2,9
46,1,2.4,80,3.7,158.1,8.2
47,1,1.9,87,6.9,146.5,8.9
48,1,2.9,44,7.1,210.4,7.8
49,1,2.9,56,7.7,257.7,8.2
50,1,0.9,67,8.9,219,8.8
51,1,3.4,75,2.9,225.5,9.4
