,xrf_5p,N,M,I,T,P
1,1,0.5,50,5,225,8.5
2,0,0.5,50,5,265.3,8.1
3,1,0.5,70,7,259.6,8
4,0,0.5,40,4,266,8.1
5,1,1,70,7,261.6,8.1
6,1,5,70,7,260.4,8
10,1,5,70,9.99,258.8,8
11,1,5,70,7,269.5,9.5
13,1,5,100,7,257.6,8
14,1,5,100,7,256.3,9.5
18,0,0.1,41,7.36,260.3,7.5
19,0,2,85,4,194.9,9.5
20,1,0.3,60,8.7,254,7.8
21,1,3,65,2.5,229.8,8.8
22,0,4.5,44,5,240.2,7.7
23,0,0.4,93,8.5,247.7,9.2
24,1,2.5,89,5.5,220.3,8.3
25,0,0,55,6,157.2,9.3
27,0,0,75,4,239.9,8.2
28,0,4.8,67,5.1,193.7,8
29,0,0.6,74,5.8,211,7.5
30,0,1.9,59,4,150.8,8.1
31,1,2.2,53,2.4,134.1,8.5
32,0,3.8,43,9.6,176.9,8.6
33,1,1.5,73,2,157.6,9.1
34,1,3.2,58,4.1,216.5,7.9
35,0,2.6,71,9.7,189.2,9
36,1,3.1,53,5.6,198.7,9
37,0,4.5,50,8.3,193.6,9.1
38,1,2.7,88,5.3,183.9,8.3
39,1,3,79,5.3,198.9,9.2
40,1,1.4,74,9.5,217,9.1
41,0,0.6,83,9,192.5,7.8
42,1,3,77,6.7,232.7,7.5
43,0,4.7,67,7.1,138.4,8.7
44,0,0.4,98,8.9,143.8,7.9
45,0,4.9,43,8.9,193.2,9
46,1,2.4,80,3.7,158.1,8.2
47,0,1.9,87,6.9,146.5,8.9
48,1,2.9,44,7.1,210.4,7.8
49,1,2.9,56,7.7,257.7,8.2
50,1,0.9,67,8.9,219,8.8
51,1,3.4,75,2.9,225.5,9.4
