,xrf_5p,N,M,I,T,P,N*M,N*I,N*T,N*P,M*I,M*T,M*P,I*T,I*P,T*P,N/M,N/I,N/T,N/P,M/I,M/T,M/P,T/I,T/P,P/I
1,1,0.5,50,5,225,8.5,25,2.5,112.5,4.25,250,11250,425,1125,42.5,1912.5,0.01,0.1,0.002222222,0.058823529,10,0.222222222,5.882352941,45,26.47058824,1.7
2,0,0.5,50,5,265.3,8.1,25,2.5,132.65,4.05,250,13265,405,1326.5,40.5,2148.93,0.01,0.1,0.001884659,0.061728395,10,0.188465888,6.172839506,53.06,32.75308642,1.62
3,1,0.5,70,7,259.6,8,35,3.5,129.8,4,490,18172,560,1817.2,56,2076.8,0.007142857,0.071428571,0.00192604,0.0625,10,0.269645609,8.75,37.08571429,32.45,1.142857143
4,0,0.5,40,4,266,8.1,20,2,133,4.05,160,10640,324,1064,32.4,2154.6,0.0125,0.125,0.001879699,0.061728395,10,0.15037594,4.938271605,66.5,32.83950617,2.025
5,1,1,70,7,261.6,8.1,70,7,261.6,8.1,490,18312,567,1831.2,56.7,2118.96,0.014285714,0.142857143,0.00382263,0.12345679,10,0.267584098,8.641975309,37.37142857,32.2962963,1.157142857
6,1,5,70,7,260.4,8,350,35,1302,40,490,18228,560,1822.8,56,2083.2,0.071428571,0.714285714,0.019201229,0.625,10,0.268817204,8.75,37.2,32.55,1.142857143
10,1,5,70,9.99,258.8,8,350,49.95,1294,40,699.3,18116,560,2585.412,79.92,2070.4,0.071428571,0.500500501,0.019319938,0.625,7.007007007,0.270479134,8.75,25.90590591,32.35,0.800800801
11,1,5,70,7,269.5,9.5,350,35,1347.5,47.5,490,18865,665,1886.5,66.5,2560.25,0.071428571,0.714285714,0.018552876,0.526315789,10,0.25974026,7.368421053,38.5,28.36842105,1.357142857
13,1,5,100,7,257.6,8,500,35,1288,40,700,25760,800,1803.2,56,2060.8,0.05,0.714285714,0.019409938,0.625,14.28571429,0.388198758,12.5,36.8,32.2,1.142857143
14,1,5,100,7,256.3,9.5,500,35,1281.5,47.5,700,25630,950,1794.1,66.5,2434.85,0.05,0.714285714,0.019508389,0.526315789,14.28571429,0.390167772,10.52631579,36.61428571,26.97894737,1.357142857
18,0,0.1,41,7.36,260.3,7.5,4.1,0.736,26.03,0.75,301.76,10672.3,307.5,1915.808,55.2,1952.25,0.002439024,0.013586957,0.000384172,0.013333333,5.570652174,0.157510565,5.466666667,35.36684783,34.70666667,1.019021739
19,0,2,85,4,194.9,9.5,170,8,389.8,19,340,16566.5,807.5,779.6,38,1851.55,0.023529412,0.5,0.010261673,0.210526316,21.25,0.436121088,8.947368421,48.725,20.51578947,2.375
20,1,0.3,60,8.7,254,7.8,18,2.61,76.2,2.34,522,15240,468,2209.8,67.86,1981.2,0.005,0.034482759,0.001181102,0.038461538,6.896551724,0.236220472,7.692307692,29.1954023,32.56410256,0.896551724
21,1,3,65,2.5,229.8,8.8,195,7.5,689.4,26.4,162.5,14937,572,574.5,22,2022.24,0.046153846,1.2,0.01305483,0.340909091,26,0.282854656,7.386363636,91.92,26.11363636,3.52
22,0,4.5,44,5,240.2,7.7,198,22.5,1080.9,34.65,220,10568.8,338.8,1201,38.5,1849.54,0.102272727,0.9,0.018734388,0.584415584,8.8,0.183180683,5.714285714,48.04,31.19480519,1.54
