,xrf_5p,N,M,I,T,P,N*M,N*I,N*T,N*P,M*I,M*T,M*P,I*T,I*P,T*P,N/M,N/I,N/T,N/P,M/I,M/T,M/P,T/I,T/P,P/I,N*M/I,N*M/T,N*M/P,N*I/M,N*I/T,N*I/P,N*T/M,N*T/I,N*T/P,N*P/M,N*P/I,N*P/T,M*I/T,M*I/P,M*T/I,M*T/P,M*P/I,M*P/T,I*T/M,I*T/P,I*P/M,I*P/T,T*P/M,T*P/I,N*M*I,N*M*T,N*M*P,N*I*T,N*I*P,N*T*P,M*I*T,M*I*P,M*T*P,I*T*P,N/M/I,N/M/T,N/M/P,N/I/T,N/I/P,N/T/P,N*M*I*T,N*M*I*P,N*M*T*P,N*I*T*P,M*I*T*P,N*M*I/T,N*M/I*T,N/M*I*T,N*M/I/T,N/M*I/T,N/M/I*T,N/M/I/T,N*M*I/P,N*M/I*P,N/M*I*P,N*M/I/P,N/M*I/P,N/M/I*P,N/M/I/P,N*M*T/P,N*M/T*P,N/M*T*P,N*M/T/P,N/M*T/P,N/M/T*P,N/M/T/P,N*I*T/P,N*I/T*P,N/I*T*P,N*I/T/P,N/I*T/P,N/I/T*P,N/I/T/P,M*I*T/P,M*I/T*P,M/I*T*P,/M*I*T*P,M*I/T/P,M/I*T/P,M/I/T*P,/M*I*T/P,/M*I/T*P,/M/I*T*P,M/I/T/P,/M*I/T/P,/M/I*T/P,/M/I/T*P,N*M*I*T*P,N*M*I*T/P,N*M*I/T*P,N*M/I*T*P,N/M*I*T*P,N*M*I/T/P,N*M/I*T/P,N*M/I/T*P,N/M*I*T/P,N/M*I/T*P,N/M/I*T*P,N*M/I/T/P,N/M*I/T/P,N/M/I*T/P,N/M/I/T*P,N/M/I/T/P
1,1,0.5,50,5,225,8.5,25,2.5,112.5,4.25,250,11250,425,1125,42.5,1912.5,0.01,0.1,0.002222222,0.058823529,10,0.222222222,5.882352941,45,26.47058824,1.7,5,0.111111111,2.941176471,0.05,0.011111111,0.294117647,2.25,22.5,13.23529412,0.085,0.85,0.018888889,1.111111111,29.41176471,2250,1323.529412,85,1.888888889,22.5,132.3529412,0.85,0.188888889,38.25,382.5,125,5625,212.5,562.5,21.25,9.56E+02,56250,2125,95625,9562.5,0.002,4.44E-05,0.001176471,0.000444444,0.011764706,0.000261438,28125,1062.5,47812.5,4781.25,478125,0.555555556,1125,11.25,0.022222222,0.000222222,0.45,8.89E-06,14.70588235,42.5,0.425,0.588235294,0.005882353,0.017,0.000235294,661.7647059,0.944444444,19.125,0.013071895,0.264705882,0.000377778,5.23E-06,66.17647059,0.094444444,191.25,0.00130719,2.647058824,0.003777778,5.23E-05,6617.647059,9.444444444,19125,191.25,0.130718954,264.7058824,0.377777778,2.647058824,0.003777778,7.65,0.005228758,5.23E-05,0.105882353,0.000151111,239062.5,3308.823529,4.722222222,9562.5,95.625,0.065359477,132.3529412,0.188888889,1.323529412,0.001888889,3.825,0.002614379,2.61E-05,0.052941176,7.56E-05,1.05E-06
2,0,0.5,50,5,265.3,8.1,25,2.5,132.65,4.05,250,13265,405,1326.5,40.5,2148.93,0.01,0.1,0.001884659,0.061728395,10,0.188465888,6.172839506,53.06,32.75308642,1.62,5,0.094232944,3.086419753,0.05,0.009423294,0.308641975,2.653,26.53,16.37654321,0.081,0.81,0.015265737,0.942329438,30.86419753,2653,1637.654321,81,1.52657369,26.53,163.7654321,0.81,0.152657369,42.9786,429.786,125,6632.5,202.5,663.25,20.25,1.07E+03,66325,2025,107446.5,10744.65,0.002,3.77E-05,0.001234568,0.000376932,0.012345679,0.000232674,33162.5,1012.5,53723.25,5372.325,537232.5,0.471164719,1326.5,13.265,0.018846589,0.000188466,0.5306,7.54E-06,15.43209877,40.5,0.405,0.617283951,0.00617284,0.0162,0.000246914,818.8271605,0.763286845,21.4893,0.011633697,0.327530864,0.000305315,4.65E-06,81.88271605,0.076328685,214.893,0.00116337,3.275308642,0.003053147,4.65E-05,8188.271605,7.632868451,21489.3,214.893,0.116336968,327.5308642,0.305314738,3.275308642,0.003053147,8.59572,0.004653479,4.65E-05,0.131012346,0.000122126,268616.25,4094.135802,3.816434225,10744.65,107.4465,0.058168484,163.7654321,0.152657369,1.637654321,0.001526574,4.29786,0.002326739,2.33E-05,0.065506173,6.11E-05,9.31E-07
3,1,0.5,70,7,259.6,8,35,3.5,129.8,4,490,18172,560,1817.2,56,2076.8,0.007142857,0.071428571,0.00192604,0.0625,10,0.269645609,8.75,37.08571429,32.45,1.142857143,5,0.134822804,4.375,0.05,0.01348228,0.4375,1.854285714,18.54285714,16.225,0.057142857,0.571428571,0.01540832,1.88751926,61.25,2596,2271.5,80,2.157164869,25.96,227.15,0.8,0.215716487,29.66857143,296.6857143,245,9086,280,908.6,28,1.04E+03,127204,3920,145376,14537.6,0.001020408,2.75E-05,0.000892857,0.000275149,0.008928571,0.000240755,63602,1960,72688,7268.8,1017632,0.94375963,1298,12.98,0.019260401,0.000192604,0.264897959,3.93E-06,30.625,40,0.4,0.625,0.00625,0.008163265,0.000127551,1135.75,1.078582435,14.83428571,0.016852851,0.231785714,0.000220119,3.44E-06,113.575,0.107858243,148.3428571,0.001685285,2.317857143,0.002201189,3.44E-05,15900.5,15.10015408,20768,207.68,0.235939908,324.5,0.30816641,3.245,0.003081664,4.238367347,0.0048151,4.82E-05,0.06622449,6.29E-05,508816,7950.25,7.550077042,10384,103.84,0.117969954,162.25,0.154083205,1.6225,0.001540832,2.119183673,0.00240755,2.41E-05,0.033112245,3.14E-05,4.91E-07
4,0,0.5,40,4,266,8.1,20,2,133,4.05,160,10640,324,1064,32.4,2154.6,0.0125,0.125,0.001879699,0.061728395,10,0.15037594,4.938271605,66.5,32.83950617,2.025,5,0.07518797,2.469135802,0.05,0.007518797,0.24691358,3.325,33.25,16.41975309,0.10125,1.0125,0.015225564,0.601503759,19.75308642,2660,1313.580247,81,1.218045113,26.6,131.3580247,0.81,0.121804511,53.865,538.65,80,5320,162,532,16.2,1.08E+03,42560,1296,86184,8618.4,0.003125,4.70E-05,0.00154321,0.000469925,0.015432099,0.000232062,21280,648,43092,4309.2,344736,0.30075188,1330,13.3,0.018796992,0.00018797,0.83125,1.17E-05,9.87654321,40.5,0.405,0.617283951,0.00617284,0.0253125,0.000385802,656.7901235,0.609022556,26.9325,0.009282465,0.410493827,0.000380639,5.80E-06,65.67901235,0.060902256,269.325,0.000928247,4.104938272,0.003806391,5.80E-05,5254.320988,4.872180451,21546,215.46,0.074259723,328.3950617,0.304511278,3.283950617,0.003045113,13.46625,0.004641233,4.64E-05,0.205246914,0.00019032,172368,2627.160494,2.436090226,10773,107.73,0.037129862,164.1975309,0.152255639,1.641975309,0.001522556,6.733125,0.002320616,2.32E-05,0.102623457,9.52E-05,1.45E-06
5,1,1,70,7,261.6,8.1,70,7,261.6,8.1,490,18312,567,1831.2,56.7,2118.96,0.014285714,0.142857143,0.00382263,0.12345679,10,0.267584098,8.641975309,37.37142857,32.2962963,1.157142857,10,0.267584098,8.641975309,0.1,0.02675841,0.864197531,3.737142857,37.37142857,32.2962963,0.115714286,1.157142857,0.030963303,1.873088685,60.49382716,2616,2260.740741,81,2.167431193,26.16,226.0740741,0.81,0.216743119,30.27085714,302.7085714,490,18312,567,1831.2,56.7,2.12E+03,128184,3969,148327.2,14832.72,0.002040816,5.46E-05,0.001763668,0.00054609,0.017636684,0.00047193,128184,3969,148327.2,14832.72,1038290.4,1.873088685,2616,26.16,0.0382263,0.000382263,0.533877551,7.80E-06,60.49382716,81,0.81,1.234567901,0.012345679,0.016530612,0.000251953,2260.740741,2.167431193,30.27085714,0.033035074,0.461375661,0.000442333,6.74E-06,226.0740741,0.216743119,302.7085714,0.003303507,4.613756614,0.004423329,6.74E-05,15825.18519,15.17201835,21189.6,211.896,0.231245517,322.962963,0.309633028,3.22962963,0.00309633,4.324408163,0.004719296,4.72E-05,0.065910809,6.32E-05,1038290.4,15825.18519,15.17201835,21189.6,211.896,0.231245517,322.962963,0.309633028,3.22962963,0.00309633,4.324408163,0.004719296,4.72E-05,0.065910809,6.32E-05,9.63E-07
6,1,5,70,7,260.4,8,350,35,1302,40,490,18228,560,1822.8,56,2083.2,0.071428571,0.714285714,0.019201229,0.625,10,0.268817204,8.75,37.2,32.55,1.142857143,50,1.344086022,43.75,0.5,0.134408602,4.375,18.6,186,162.75,0.571428571,5.714285714,0.153609831,1.88172043,61.25,2604,2278.5,80,2.150537634,26.04,227.85,0.8,0.215053763,29.76,297.6,2450,91140,2800,9114,280,10416,127596,3920,145824,14582.4,0.010204082,0.000274303,0.008928571,0.002743033,0.089285714,0.002400154,637980,19600,729120,72912,1020768,9.408602151,13020,130.2,0.192012289,0.001920123,2.657142857,3.92E-05,306.25,400,4,6.25,0.0625,0.081632653,0.00127551,11392.5,10.75268817,148.8,0.168010753,2.325,0.002194426,3.43E-05,1139.25,1.075268817,1488,0.016801075,23.25,0.021944262,0.000342879,15949.5,15.05376344,20832,208.32,0.235215054,325.5,0.307219662,3.255,0.003072197,4.251428571,0.004800307,4.80E-05,0.066428571,6.27E-05,5103840,79747.5,75.2688172,104160,1041.6,1.176075269,1627.5,1.53609831,16.275,0.015360983,21.25714286,0.024001536,0.000240015,0.332142857,0.000313489,4.90E-06
10,1,5,70,9.99,258.8,8,350,49.95,1294,40,699.3,18116,560,2585.412,79.92,2070.4,0.071428571,0.500500501,0.019319938,0.625,7.007007007,0.270479134,8.75,25.90590591,32.35,0.800800801,35.03503504,1.352395672,43.75,0.713571429,0.193006182,6.24375,18.48571429,129.5295295,161.75,0.571428571,4.004004004,0.154559505,2.702086553,87.4125,1813.413413,2264.5,56.05605606,2.163833076,36.93445714,323.1765,1.141714286,0.308809892,29.57714286,207.2472472,3496.5,90580,2800,12927.06,399.6,10352,180978.84,5594.4,144928,20683.296,0.007150007,0.000275999,0.008928571,0.001933928,0.062562563,0.002414992,904894.2,27972,724640,103416.48,1447830.72,13.51043277,9067.067067,184.6722857,0.135374942,0.002757231,1.85042185,2.76E-05,437.0625,280.2802803,5.708571429,4.379379379,0.089196429,0.057200057,0.000893751,11322.5,10.81916538,147.8857143,0.169049459,2.310714286,0.002207993,3.45E-05,1615.8825,1.544049459,1036.236236,0.024125773,16.19119119,0.015471422,0.000241741,22622.355,21.61669243,14507.30731,295.4756571,0.337760819,226.6766767,0.216599907,4.616807143,0.00441157,2.960674961,0.003384374,6.89E-05,0.046260546,4.42E-05,7239153.6,113111.775,108.0834621,72536.53654,1477.378286,1.688804096,1133.383383,1.082999537,23.08403571,0.022057849,14.8033748,0.016921868,0.000344654,0.231302731,0.00022102,3.45E-06
11,1,5,70,7,269.5,9.5,350,35,1347.5,47.5,490,18865,665,1886.5,66.5,2560.25,0.071428571,0.714285714,0.018552876,0.526315789,10,0.25974026,7.368421053,38.5,28.36842105,1.357142857,50,1.298701299,36.84210526,0.5,0.12987013,3.684210526,19.25,192.5,141.8421053,0.678571429,6.785714286,0.176252319,1.818181818,51.57894737,2695,1985.789474,95,2.467532468,26.95,198.5789474,0.95,0.246753247,36.575,365.75,2450,94325,3325,9432.5,332.5,12801.25,132055,4655,179217.5,17921.75,0.010204082,0.000265041,0.007518797,0.002650411,0.07518797,0.001952934,660275,23275,896087.5,89608.75,1254522.5,9.090909091,13475,134.75,0.185528757,0.001855288,2.75,3.79E-05,257.8947368,475,4.75,5.263157895,0.052631579,0.096938776,0.001074114,9928.947368,12.33766234,182.875,0.1367054,2.026315789,0.00251789,2.79E-05,992.8947368,1.233766234,1828.75,0.01367054,20.26315789,0.025178903,0.000278991,13900.52632,17.27272727,25602.5,256.025,0.19138756,283.6842105,0.352504638,2.836842105,0.003525046,5.225,0.003905869,3.91E-05,0.057894737,7.19E-05,6272612.5,69502.63158,86.36363636,128012.5,1280.125,0.956937799,1418.421053,1.762523191,14.18421053,0.017625232,26.125,0.019529343,0.000195293,0.289473684,0.000359699,3.99E-06
13,1,5,100,7,257.6,8,500,35,1288,40,700,25760,800,1803.2,56,2060.8,0.05,0.714285714,0.019409938,0.625,14.28571429,0.388198758,12.5,36.8,32.2,1.142857143,71.42857143,1.940993789,62.5,0.35,0.135869565,4.375,12.88,184,161,0.4,5.714285714,0.155279503,2.717391304,87.5,3680,3220,114.2857143,3.105590062,18.032,225.4,0.56,0.217391304,20.608,294.4,3500,128800,4000,9016,280,10304,180320,5600,206080,14425.6,0.007142857,0.000194099,0.00625,0.002772848,0.089285714,0.002426242,901600,28000,1030400,72128,1442560,13.58695652,18400,90.16,0.277284827,0.001358696,1.84,2.77E-05,437.5,571.4285714,2.8,8.928571429,0.04375,0.057142857,0.000892857,16100,15.52795031,103.04,0.242624224,1.61,0.001552795,2.43E-05,1127,1.086956522,1472,0.016983696,23,0.022182786,0.000346606,22540,21.73913043,29440,144.256,0.339673913,460,0.443655723,2.254,0.002173913,2.944,0.006932121,3.40E-05,0.046,4.44E-05,7212800,112700,108.6956522,147200,721.28,1.698369565,2300,2.218278616,11.27,0.010869565,14.72,0.034660603,0.000169837,0.23,0.000221828,3.47E-06
14,1,5,100,7,256.3,9.5,500,35,1281.5,47.5,700,25630,950,1794.1,66.5,2434.85,0.05,0.714285714,0.019508389,0.526315789,14.28571429,0.390167772,10.52631579,36.61428571,26.97894737,1.357142857,71.42857143,1.950838861,52.63157895,0.35,0.13655872,3.684210526,12.815,183.0714286,134.8947368,0.475,6.785714286,0.185329692,2.731174405,73.68421053,3661.428571,2697.894737,135.7142857,3.706593835,17.941,188.8526316,0.665,0.259461568,24.3485,347.8357143,3500,128150,4750,8970.5,332.5,12174.25,179410,6650,243485,17043.95,0.007142857,0.000195084,0.005263158,0.002786913,0.07518797,0.002053515,897050,33250,1217425,85219.75,1704395,13.65587202,18307.14286,89.705,0.278691266,0.001365587,1.830714286,2.79E-05,368.4210526,678.5714286,3.325,7.518796992,0.036842105,0.067857143,0.00075188,13489.47368,18.53296918,121.7425,0.205351459,1.348947368,0.001853297,2.05E-05,944.2631579,1.297307842,1739.178571,0.014374602,19.27067669,0.02647567,0.000293359,18885.26316,25.94615685,34783.57143,170.4395,0.287492043,385.4135338,0.529513405,1.888526316,0.002594616,3.478357143,0.005867185,2.87E-05,0.038541353,5.30E-05,8521975,94426.31579,129.7307842,173917.8571,852.1975,1.437460213,1927.067669,2.647567025,9.442631579,0.012973078,17.39178571,0.029335923,0.000143746,0.192706767,0.000264757,2.93E-06
