,xrf_6p,C,F_R,F_R,T,P,C*F_R,C*F_M,C*T,C*P,F_R*F_M,F_R*T,F_R*P,F_M*T,F_M_P,T*P,C/F_R,C/F_M,C/T,C/P,F_R/F_M,F_R/T,F_R/P,T/F_M,T/P,P/F_M,C*F_R/F_M,C*F_R/T,C*F_R/P,C*F_M/F_R,C*F_M/T,C*F_M/P,C*T/F_R,C*T/F_M,C*T/P,C*P/F_R,C*P/F_M,C*P/T,F_R*F_M/T,F_R*F_M/P,F_R*T/F_M,F_R*T/P,F_R*P/F_M,F_R*P/T,F_M*T/F_R,F_M*T/P,F_M*P/F_R,F_M*P/T,T*P/F_R,T*P/F_M,C*F_R*F_M,C*F_R*T,C*F_R*P,C*F_M*T,C*F_M*P,C*T*P,F_R*F_M*T,F_R*F_M*P,F_R*T*P,F_M*T*P,C/F_R/F_M,C/F_R/T,C/F_R/P,C/F_M/T,C/F_M/P,C/T/P
1,1,0.5,50,5,225,8.5,25,2.5,112.5,4.25,250,11250,425,1125,42.5,1912.5,0.01,0.1,0.002222222,0.058823529,10,0.222222222,5.882352941,45,26.47058824,1.7,5,0.111111111,2.941176471,0.05,0.011111111,0.294117647,2.25,22.5,13.23529412,0.085,0.85,0.018888889,1.111111111,29.41176471,2250,1323.529412,85,1.888888889,22.5,132.3529412,0.85,0.188888889,38.25,382.5,125,5625,212.5,562.5,21.25,9.56E+02,56250,2125,95625,9562.5,0.002,4.44E-05,0.001176471,0.000444444,0.011764706,0.000261438
2,1,0.5,50,5,265.3,8.1,25,2.5,132.65,4.05,250,13265,405,1326.5,40.5,2148.93,0.01,0.1,0.001884659,0.061728395,10,0.188465888,6.172839506,53.06,32.75308642,1.62,5,0.094232944,3.086419753,0.05,0.009423294,0.308641975,2.653,26.53,16.37654321,0.081,0.81,0.015265737,0.942329438,30.86419753,2653,1637.654321,81,1.52657369,26.53,163.7654321,0.81,0.152657369,42.9786,429.786,125,6632.5,202.5,663.25,20.25,1.07E+03,66325,2025,107446.5,10744.65,0.002,3.77E-05,0.001234568,0.000376932,0.012345679,0.000232674
3,1,0.5,70,7,259.6,8,35,3.5,129.8,4,490,18172,560,1817.2,56,2076.8,0.007142857,0.071428571,0.00192604,0.0625,10,0.269645609,8.75,37.08571429,32.45,1.142857143,5,0.134822804,4.375,0.05,0.01348228,0.4375,1.854285714,18.54285714,16.225,0.057142857,0.571428571,0.01540832,1.88751926,61.25,2596,2271.5,80,2.157164869,25.96,227.15,0.8,0.215716487,29.66857143,296.6857143,245,9086,280,908.6,28,1.04E+03,127204,3920,145376,14537.6,0.001020408,2.75E-05,0.000892857,0.000275149,0.008928571,0.000240755
4,0,0.5,40,4,266,8.1,20,2,133,4.05,160,10640,324,1064,32.4,2154.6,0.0125,0.125,0.001879699,0.061728395,10,0.15037594,4.938271605,66.5,32.83950617,2.025,5,0.07518797,2.469135802,0.05,0.007518797,0.24691358,3.325,33.25,16.41975309,0.10125,1.0125,0.015225564,0.601503759,19.75308642,2660,1313.580247,81,1.218045113,26.6,131.3580247,0.81,0.121804511,53.865,538.65,80,5320,162,532,16.2,1.08E+03,42560,1296,86184,8618.4,0.003125,4.70E-05,0.00154321,0.000469925,0.015432099,0.000232062
5,1,1,70,7,261.6,8.1,70,7,261.6,8.1,490,18312,567,1831.2,56.7,2118.96,0.014285714,0.142857143,0.00382263,0.12345679,10,0.267584098,8.641975309,37.37142857,32.2962963,1.157142857,10,0.267584098,8.641975309,0.1,0.02675841,0.864197531,3.737142857,37.37142857,32.2962963,0.115714286,1.157142857,0.030963303,1.873088685,60.49382716,2616,2260.740741,81,2.167431193,26.16,226.0740741,0.81,0.216743119,30.27085714,302.7085714,490,18312,567,1831.2,56.7,2.12E+03,128184,3969,148327.2,14832.72,0.002040816,5.46E-05,0.001763668,0.00054609,0.017636684,0.00047193
6,1,5,70,7,260.4,8,350,35,1302,40,490,18228,560,1822.8,56,2083.2,0.071428571,0.714285714,0.019201229,0.625,10,0.268817204,8.75,37.2,32.55,1.142857143,50,1.344086022,43.75,0.5,0.134408602,4.375,18.6,186,162.75,0.571428571,5.714285714,0.153609831,1.88172043,61.25,2604,2278.5,80,2.150537634,26.04,227.85,0.8,0.215053763,29.76,297.6,2450,91140,2800,9114,280,10416,127596,3920,145824,14582.4,0.010204082,0.000274303,0.008928571,0.002743033,0.089285714,0.002400154
10,1,5,70,9.99,258.8,8,350,49.95,1294,40,699.3,18116,560,2585.412,79.92,2070.4,0.071428571,0.500500501,0.019319938,0.625,7.007007007,0.270479134,8.75,25.90590591,32.35,0.800800801,35.03503504,1.352395672,43.75,0.713571429,0.193006182,6.24375,18.48571429,129.5295295,161.75,0.571428571,4.004004004,0.154559505,2.702086553,87.4125,1813.413413,2264.5,56.05605606,2.163833076,36.93445714,323.1765,1.141714286,0.308809892,29.57714286,207.2472472,3496.5,90580,2800,12927.06,399.6,10352,180978.84,5594.4,144928,20683.296,0.007150007,0.000275999,0.008928571,0.001933928,0.062562563,0.002414992
11,1,5,70,7,269.5,9.5,350,35,1347.5,47.5,490,18865,665,1886.5,66.5,2560.25,0.071428571,0.714285714,0.018552876,0.526315789,10,0.25974026,7.368421053,38.5,28.36842105,1.357142857,50,1.298701299,36.84210526,0.5,0.12987013,3.684210526,19.25,192.5,141.8421053,0.678571429,6.785714286,0.176252319,1.818181818,51.57894737,2695,1985.789474,95,2.467532468,26.95,198.5789474,0.95,0.246753247,36.575,365.75,2450,94325,3325,9432.5,332.5,12801.25,132055,4655,179217.5,17921.75,0.010204082,0.000265041,0.007518797,0.002650411,0.07518797,0.001952934
13,1,5,100,7,257.6,8,500,35,1288,40,700,25760,800,1803.2,56,2060.8,0.05,0.714285714,0.019409938,0.625,14.28571429,0.388198758,12.5,36.8,32.2,1.142857143,71.42857143,1.940993789,62.5,0.35,0.135869565,4.375,12.88,184,161,0.4,5.714285714,0.155279503,2.717391304,87.5,3680,3220,114.2857143,3.105590062,18.032,225.4,0.56,0.217391304,20.608,294.4,3500,128800,4000,9016,280,10304,180320,5600,206080,14425.6,0.007142857,0.000194099,0.00625,0.002772848,0.089285714,0.002426242
14,1,5,100,7,256.3,9.5,500,35,1281.5,47.5,700,25630,950,1794.1,66.5,2434.85,0.05,0.714285714,0.019508389,0.526315789,14.28571429,0.390167772,10.52631579,36.61428571,26.97894737,1.357142857,71.42857143,1.950838861,52.63157895,0.35,0.13655872,3.684210526,12.815,183.0714286,134.8947368,0.475,6.785714286,0.185329692,2.731174405,73.68421053,3661.428571,2697.894737,135.7142857,3.706593835,17.941,188.8526316,0.665,0.259461568,24.3485,347.8357143,3500,128150,4750,8970.5,332.5,12174.25,179410,6650,243485,17043.95,0.007142857,0.000195084,0.005263158,0.002786913,0.07518797,0.002053515
