,MeanSize,C,F_R,F_M,T,P
1,3.621042,0.5,50,5,225,8.5
2,4.105746,0.5,50,5,265.3,8.1
3,3.727794,0.5,70,7,259.6,8
5,4.008224,1,70,7,261.6,8.1
6,3.034118,5,70,7,260.4,8
10,3.23489,5,70,9.99,258.8,8
11,3.388782,5,70,7,269.5,9.5
13,3.38371,5,100,7,257.6,8
14,2.41905,5,100,7,256.3,9.5
19,2.12379,2,85,4,194.9,9.5
20,3.318406,0.3,60,8.7,254,7.8
21,2.998868,3,65,2.5,229.8,8.8
22,3.21609,4.5,44,5,240.2,7.7
24,2.882052,2.5,89,5.5,220.3,8.3
27,3.39637,0,75,4,239.9,8.2
28,2.506408,4.8,67,5.1,193.7,8
34,2.678024,3.2,58,4.1,216.5,7.9
39,2.327708,3,79,5.3,198.9,9.2
40,2.874678,1.4,74,9.5,217,9.1
42,2.896156,3,77,6.7,232.7,7.5
46,2.12573,2.4,80,3.7,158.1,8.2
48,3.007458,2.9,44,7.1,210.4,7.8
49,3.635498,2.9,56,7.7,257.7,8.2
50,3.111392,0.9,67,8.9,219,8.8
51,2.637876,3.4,75,2.9,225.5,9.4
